area,company,hourly_wage,area1,area2,outlier,name
노원구 공릉동,세븐일레븐 노원공릉그린점,5580,노원구,공릉동,0,7/11
노원구 공릉동,세븐일레븐 공릉금강점,5580,노원구,공릉동,0,7/11
도봉구 창동,세븐일레븐,6500,도봉구,창동,0,7/11
동대문구 장안동,세븐일레븐장안바우점,6300,동대문구,장안동,0,7/11
동대문구 이문1동,세븐일레븐 외대점,5600,동대문구,이문1동,0,7/11
동대문구 장안동,세븐일레븐 장안2호점,6000,동대문구,장안동,0,7/11
동작구 상도동,세븐일레븐 장승배기로점,5580,동작구,상도동,0,7/11
동작구 신대방동,세븐일레븐,5600,동작구,신대방동,0,7/11
마포구 성산2동,세븐일레븐 마포 성산대로점,6000,마포구,성산2동,0,7/11
마포구 서교동,세븐일레븐 홍익대2호점,5580,마포구,서교동,0,7/11
마포구 서교동,세븐일레븐 홍대클럽점,6000,마포구,서교동,0,7/11
마포구 마포동,세븐일레븐 마포점,5580,마포구,마포동,0,7/11
마포구 아현동,세븐일레븐(공덕자이점),5800,마포구,아현동,0,7/11
마포구 서교동,세븐일레븐마포스토리점,5580,마포구,서교동,0,7/11
마포구 동교동,세븐일레븐 마포홍익점,6500,마포구,동교동,0,7/11
마포구 창전동,㈜세븐일레븐,5580,마포구,창전동,0,7/11
마포구 망원동,세븐일레븐 망원점,5600,마포구,망원동,0,7/11
마포구 서교동,세븐일레븐마포스토리점,5600,마포구,서교동,0,7/11
서대문구 북가좌1,세븐일레븐 가재울 아이파크점,5600,서대문구,북가좌1,0,7/11
서대문구 홍제동,세븐일레븐 홍제 세검정로길점,5580,서대문구,홍제동,0,7/11
서초구 서초동,세븐일레븐,5580,서초구,서초동,0,7/11
서초구 방배동,세븐일레븐 방배동광점,5600,서초구,방배동,0,7/11
서초구 서초3동,세븐일레븐 교대역점,5700,서초구,서초3동,0,7/11
서초구 반포동,세븐일레븐 서울성모병원점,5580,서초구,반포동,0,7/11
서초구 서초3동,세븐일레븐 서울서초점,5800,서초구,서초3동,0,7/11
서초구 서초3동,세븐일레븐 서초 14호,5600,서초구,서초3동,0,7/11
성동구 성수동2,세븐일레븐,5580,성동구,성수동2,0,7/11
성동구 행당동,세븐일레븐 한양대역점,5580,성동구,행당동,0,7/11
성동구 성수동2,세븐일레븐 / 성수2가점,5600,성동구,성수동2,0,7/11
성동구 옥수동,세븐일레븐 옥수2호점,5580,성동구,옥수동,0,7/11
성동구 하왕십리,세븐일레븐M상왕십리역점,5600,성동구,하왕십리,0,7/11
성동구 사근동,세븐일레븐 한양대학교병원점,6500,성동구,사근동,0,7/11
성북구 하월곡동,세븐일레븐월곡주민센터점,5580,성북구,하월곡동,0,7/11
성북구 석관동,세븐일레븐 돌곶이점,5900,성북구,석관동,0,7/11
성북구 동선동3,세븐일레븐 성신여대정문점,5600,성북구,동선동3,0,7/11
성북구 동선동3,세븐일레븐,5580,성북구,동선동3,0,7/11
성북구 안암동5,세븐일레븐,5580,성북구,안암동5,0,7/11
송파구 송파동,세븐일레븐,6000,송파구,송파동,0,7/11
송파구 송파동,세븐일레븐 송파희망점,5580,송파구,송파동,0,7/11
송파구 잠실동,세븐일레븐 롯데월드,5580,송파구,잠실동,0,7/11
송파구 잠실본동,세븐일레븐 잠실우성점,5580,송파구,잠실본동,0,7/11
송파구 방이동,세븐일레븐 올림픽점,5580,송파구,방이동,0,7/11
송파구 신천동,세븐일레븐 잠실역 신광장점,5580,송파구,신천동,0,7/11
송파구 문정1동,세븐일레븐,5600,송파구,문정1동,0,7/11
송파구 방이동,세븐일레븐방이상윤점,5580,송파구,방이동,0,7/11
양천구 신정동,세븐일레븐,5580,양천구,신정동,0,7/11
양천구 신정동,세븐일레븐목동리더스점,5800,양천구,신정동,0,7/11
양천구 목3동,세븐일레븐 목동캐슬점,5580,양천구,목3동,0,7/11
영등포구 여의도동,세븐일레븐 여의역점,6000,영등포구,여의도동,0,7/11
영등포구 영등포동,세븐일레븐 영등포 2호점,6200,영등포구,영등포동,0,7/11
영등포구 여의도동,세븐일레븐/여의금강점,5580,영등포구,여의도동,0,7/11
영등포구 양평동1,세븐일레븐,5580,영등포구,양평동1,0,7/11
영등포구 당산동6,세븐일레븐 당산길조점,5600,영등포구,당산동6,0,7/11
영등포구 당산동6,세븐일레븐 당산역점,5580,영등포구,당산동6,0,7/11
영등포구 양평동5,세븐일레븐 롯데타워점,5600,영등포구,양평동5,0,7/11
용산구 이태원동,세븐일레븐 이태원청화점,6000,용산구,이태원동,0,7/11
용산구 문배동,세븐일레븐 용산웰츠타워점,5600,용산구,문배동,0,7/11
은평구 불광동,세븐일레븐,5580,은평구,불광동,0,7/11
은평구 응암2동,세븐일레븐,5580,은평구,응암2동,0,7/11
은평구 대조동,세븐일레븐,5580,은평구,대조동,0,7/11
은평구 진관동,세븐일레븐 구파발역점,6000,은평구,진관동,0,7/11
종로구 와룡동,세븐일레븐 호스텔코리아점,5600,종로구,와룡동,0,7/11
종로구 내수동,세븐일레븐 광화문2호점,5580,종로구,내수동,0,7/11
종로구 관수동,세븐일레븐 종로관수점,6480,종로구,관수동,0,7/11
종로구 창신동,세븐일레븐 창신우리점,5580,종로구,창신동,0,7/11
종로구 종로5가,세븐일레븐 종로5가역점,5600,종로구,종로5가,0,7/11
종로구 인의동,세븐일레븐 종로 인의점,5600,종로구,인의동,0,7/11
종로구 무악동,세븐일레븐 독립문역점,5580,종로구,무악동,0,7/11
종로구 창신동,세븐일레븐 동묘역점,5580,종로구,창신동,0,7/11
종로구 묘동,세븐일레븐 s종로3가역점,5580,종로구,묘동,0,7/11
종로구 낙원동,세븐일레븐 종로제일점,6480,종로구,낙원동,0,7/11
중구 명동1가,세븐일레븐 명동평화점,5580,중구,명동1가,0,7/11
중구 광희동2,세븐일레븐,5580,중구,광희동2,0,7/11
중구 오장동,세븐일레븐 오장동호점(역삼성보점),5600,중구,오장동,0,7/11
중구 충무로4,세븐일레븐 충무로점,6000,중구,충무로4,0,7/11
중구 다동,세븐일레븐 무교yg타워점,6300,중구,다동,0,7/11
중구 을지로1,세븐일레븐 명동 평화점,5580,중구,을지로1,0,7/11
중구 명동2가,세븐일레븐,6690,중구,명동2가,0,7/11
중구 신당6동,세븐일레븐 신당점,5580,중구,신당6동,0,7/11
중구 북창동,세븐일레븐 북창점,6500,중구,북창동,0,7/11
중구 신당동,세븐일레븐,6000,중구,신당동,0,7/11
중랑구 망우동,세븐일레븐 망우본점,5580,중랑구,망우동,0,7/11
중랑구 신내1동,세븐일레븐 신내우디안점,5580,중랑구,신내1동,0,7/11
강남구 논현동,CU 논현힐탑점,5600,강남구,논현동,0,CU
강남구 논현동,CU논현한미점,6000,강남구,논현동,0,CU
강남구 신사동,CU 로데오점,6100,강남구,신사동,0,CU
강남구 대치4동,CU 대치본점,6000,강남구,대치4동,0,CU
강남구 논현1동,CUBE pc방,6500,강남구,논현1동,0,CU
강북구 수유3동,CU수유중앙점,5600,강북구,수유3동,0,CU
강서구 방화동,CU방화오피스점,6000,강서구,방화동,0,CU
관악구 신원동,CU신림인석점,5580,관악구,신원동,0,CU
관악구 봉천동,CU관악상상점,5580,관악구,봉천동,0,CU
구로구 구로동,CU편의점(고대구로병원1호점),5580,구로구,구로동,0,CU
금천구 독산동,CU 독산메이퀸점,6300,금천구,독산동,0,CU
금천구 가산동,"뚜레쥬르,CU,가산디폴리스점",6300,금천구,가산동,0,CU
노원구 하계1동,CU과학기술대원룸점,5580,노원구,하계1동,0,CU
노원구 상계동,CU/상계주공점,5580,노원구,상계동,0,CU
노원구 공릉동,CU공릉과기대점,5580,노원구,공릉동,0,CU
동작구 상도동,CU 편의점,5800,동작구,상도동,0,CU
마포구 창전동,CU 홍대으뜸점,5900,마포구,창전동,0,CU
마포구 동교동,CU 동교행복점,5600,마포구,동교동,0,CU
서대문구 합동,CU 충정로 프랑스점,5580,서대문구,합동,0,CU
서대문구 신촌동,BGF Retail CU 신촌세브란스병원점,6900,서대문구,신촌동,0,CU
서대문구 현저동,CU 독립문극동점,6500,서대문구,현저동,0,CU
서대문구 충정로2,충정로 골든타워점 CU,6000,서대문구,충정로2,0,CU
서대문구 홍은동,CU홍은두산점,5580,서대문구,홍은동,0,CU
서초구 반포4동,CU 서래중앙점,6000,서초구,반포4동,0,CU
성동구 용답동,CU  장한평역점,5580,성동구,용답동,0,CU
성동구 성수동1,CU 성수사랑점,6000,성동구,성수동1,0,CU
성북구 안암동5,CU고대호랑이점,5600,성북구,안암동5,0,CU
송파구 신천동,CU신천포스코점,5580,송파구,신천동,0,CU
송파구 풍납동,CU풍납우성점,5580,송파구,풍납동,0,CU
영등포구 당산동,CU,5580,영등포구,당산동,0,CU
영등포구 당산동3,CU mart,5700,영등포구,당산동3,0,CU
용산구 한남동,CU 한남리첸시아점,6600,용산구,한남동,0,CU
용산구 이태원동,CU 이태원프리덤점,7500,용산구,이태원동,0,CU
용산구 문배동,CU 용산지오베르크,5800,용산구,문배동,0,CU
은평구 대조동,큐브(CUBE),6000,은평구,대조동,0,CU
은평구 불광동,CU 불광으뜸점,5580,은평구,불광동,0,CU
